epoch:=100 ,test_acc:=256.761047
epoch:=200 ,test_acc:=252.440018
epoch:=300 ,test_acc:=248.144684
epoch:=400 ,test_acc:=243.926422
epoch:=500 ,test_acc:=239.768768
epoch:=600 ,test_acc:=235.671524
epoch:=700 ,test_acc:=231.660507
epoch:=800 ,test_acc:=227.700912
epoch:=900 ,test_acc:=223.804153
epoch:=1000 ,test_acc:=219.951736
epoch:=1100 ,test_acc:=216.199753
epoch:=1200 ,test_acc:=212.470886
epoch:=1300 ,test_acc:=208.826294
epoch:=1400 ,test_acc:=205.218307
epoch:=1500 ,test_acc:=201.650299
epoch:=1600 ,test_acc:=198.161713
epoch:=1700 ,test_acc:=194.735672
epoch:=1800 ,test_acc:=191.364792
epoch:=1900 ,test_acc:=188.009857
epoch:=2000 ,test_acc:=184.716721
epoch:=2100 ,test_acc:=181.512527
epoch:=2200 ,test_acc:=178.321793
epoch:=2300 ,test_acc:=175.187286
epoch:=2400 ,test_acc:=172.109695
epoch:=2500 ,test_acc:=169.063538
epoch:=2600 ,test_acc:=166.048721
epoch:=2700 ,test_acc:=163.109711
epoch:=2800 ,test_acc:=160.248825
epoch:=2900 ,test_acc:=157.363434
epoch:=3000 ,test_acc:=154.552322
epoch:=3100 ,test_acc:=151.757233
epoch:=3200 ,test_acc:=149.033234
epoch:=3300 ,test_acc:=146.321655
epoch:=3400 ,test_acc:=143.675049
epoch:=3500 ,test_acc:=141.097733
epoch:=3600 ,test_acc:=138.539703
epoch:=3700 ,test_acc:=136.000824
epoch:=3800 ,test_acc:=133.507523
epoch:=3900 ,test_acc:=131.054916
epoch:=4000 ,test_acc:=128.617599
epoch:=4100 ,test_acc:=126.269653
epoch:=4200 ,test_acc:=123.935425
epoch:=4300 ,test_acc:=121.633553
epoch:=4400 ,test_acc:=119.362282
epoch:=4500 ,test_acc:=117.156761
epoch:=4600 ,test_acc:=114.986694
epoch:=4700 ,test_acc:=112.793312
epoch:=4800 ,test_acc:=110.657204
epoch:=4900 ,test_acc:=108.588623
epoch:=5000 ,test_acc:=106.534050
epoch:=5100 ,test_acc:=104.508705
epoch:=5200 ,test_acc:=102.478737
epoch:=5300 ,test_acc:=100.550873
epoch:=5400 ,test_acc:=98.611107
epoch:=5500 ,test_acc:=96.733551
