epoch:=100 ,test_acc:=255.711061
epoch:=200 ,test_acc:=251.298499
epoch:=300 ,test_acc:=246.947917
epoch:=400 ,test_acc:=242.675595
epoch:=500 ,test_acc:=238.474402
epoch:=600 ,test_acc:=234.335904
epoch:=700 ,test_acc:=230.261490
epoch:=800 ,test_acc:=226.263280
epoch:=900 ,test_acc:=222.322508
epoch:=1000 ,test_acc:=218.453175
epoch:=1100 ,test_acc:=214.649672
epoch:=1200 ,test_acc:=210.914812
epoch:=1300 ,test_acc:=207.235806
epoch:=1400 ,test_acc:=203.622913
epoch:=1500 ,test_acc:=200.064836
epoch:=1600 ,test_acc:=196.561481
epoch:=1700 ,test_acc:=193.122011
epoch:=1800 ,test_acc:=189.731206
epoch:=1900 ,test_acc:=186.393895
epoch:=2000 ,test_acc:=183.114658
epoch:=2100 ,test_acc:=179.893195
epoch:=2200 ,test_acc:=176.717632
epoch:=2300 ,test_acc:=173.593571
epoch:=2400 ,test_acc:=170.519298
epoch:=2500 ,test_acc:=167.485103
epoch:=2600 ,test_acc:=164.499910
epoch:=2700 ,test_acc:=161.555072
epoch:=2800 ,test_acc:=158.673863
epoch:=2900 ,test_acc:=155.832913
epoch:=3000 ,test_acc:=153.037622
epoch:=3100 ,test_acc:=150.296280
epoch:=3200 ,test_acc:=147.596550
epoch:=3300 ,test_acc:=144.941800
epoch:=3400 ,test_acc:=142.325542
epoch:=3500 ,test_acc:=139.744797
epoch:=3600 ,test_acc:=137.216032
epoch:=3700 ,test_acc:=134.712595
epoch:=3800 ,test_acc:=132.250281
epoch:=3900 ,test_acc:=129.831787
epoch:=4000 ,test_acc:=127.451049
epoch:=4100 ,test_acc:=125.116941
epoch:=4200 ,test_acc:=122.811412
epoch:=4300 ,test_acc:=120.528683
epoch:=4400 ,test_acc:=118.293355
epoch:=4500 ,test_acc:=116.094277
epoch:=4600 ,test_acc:=113.936575
epoch:=4700 ,test_acc:=111.803491
epoch:=4800 ,test_acc:=109.704002
epoch:=4900 ,test_acc:=107.628449
epoch:=5000 ,test_acc:=105.599441
epoch:=5100 ,test_acc:=103.591139
epoch:=5200 ,test_acc:=101.624677
epoch:=5300 ,test_acc:=99.700654
epoch:=5400 ,test_acc:=97.788894
epoch:=5500 ,test_acc:=95.901759
epoch:=5600 ,test_acc:=94.064381
epoch:=5700 ,test_acc:=92.246228
epoch:=5800 ,test_acc:=90.469561
epoch:=5900 ,test_acc:=88.702841
epoch:=6000 ,test_acc:=86.987193
epoch:=6100 ,test_acc:=85.302274
epoch:=6200 ,test_acc:=83.621004
epoch:=6300 ,test_acc:=81.999969
epoch:=6400 ,test_acc:=80.386427
epoch:=6500 ,test_acc:=78.815313
epoch:=6600 ,test_acc:=77.263468
epoch:=6700 ,test_acc:=75.730897
epoch:=6800 ,test_acc:=74.223431
epoch:=6900 ,test_acc:=72.753656
epoch:=7000 ,test_acc:=71.297910
epoch:=7100 ,test_acc:=69.876630
epoch:=7200 ,test_acc:=68.478538
epoch:=7300 ,test_acc:=67.096793
epoch:=7400 ,test_acc:=65.756218
epoch:=7500 ,test_acc:=64.433306
epoch:=7600 ,test_acc:=63.130822
epoch:=7700 ,test_acc:=61.836877
epoch:=7800 ,test_acc:=60.580095
epoch:=7900 ,test_acc:=59.349196
epoch:=8000 ,test_acc:=58.150795
epoch:=8100 ,test_acc:=56.954613
epoch:=8200 ,test_acc:=55.785419
epoch:=8300 ,test_acc:=54.644083
epoch:=8400 ,test_acc:=53.514755
epoch:=8500 ,test_acc:=52.420546
epoch:=8600 ,test_acc:=51.327642
epoch:=8700 ,test_acc:=50.271095
epoch:=8800 ,test_acc:=49.241414
epoch:=8900 ,test_acc:=48.210788
epoch:=9000 ,test_acc:=47.210617
epoch:=9100 ,test_acc:=46.220443
epoch:=9200 ,test_acc:=45.257984
epoch:=9300 ,test_acc:=44.313057
epoch:=9400 ,test_acc:=43.379517
epoch:=9500 ,test_acc:=42.484344
epoch:=9600 ,test_acc:=41.590578
epoch:=9700 ,test_acc:=40.719144
epoch:=9800 ,test_acc:=39.863706
epoch:=9900 ,test_acc:=39.026644
epoch:=10000 ,test_acc:=38.208635
epoch:=10100 ,test_acc:=37.385086
epoch:=10200 ,test_acc:=36.601328
epoch:=10300 ,test_acc:=35.810719
epoch:=10400 ,test_acc:=35.062579
epoch:=10500 ,test_acc:=34.323722
epoch:=10600 ,test_acc:=33.602610
epoch:=10700 ,test_acc:=32.884518
epoch:=10800 ,test_acc:=32.187841
epoch:=10900 ,test_acc:=31.516446
epoch:=11000 ,test_acc:=30.856193
epoch:=11100 ,test_acc:=30.173097
epoch:=11200 ,test_acc:=29.537930
epoch:=11300 ,test_acc:=28.922119
epoch:=11400 ,test_acc:=28.304222
epoch:=11500 ,test_acc:=27.703656
epoch:=11600 ,test_acc:=27.116971
epoch:=11700 ,test_acc:=26.545648
epoch:=11800 ,test_acc:=25.998062
epoch:=11900 ,test_acc:=25.435773
epoch:=12000 ,test_acc:=24.899706
epoch:=12100 ,test_acc:=24.374139
epoch:=12200 ,test_acc:=23.862186
epoch:=12300 ,test_acc:=23.357335
epoch:=12400 ,test_acc:=22.865631
epoch:=12500 ,test_acc:=22.375212
epoch:=12600 ,test_acc:=21.910493
epoch:=12700 ,test_acc:=21.463179
epoch:=12800 ,test_acc:=21.003254
epoch:=12900 ,test_acc:=20.590694
epoch:=13000 ,test_acc:=20.147682
epoch:=13100 ,test_acc:=19.714997
epoch:=13200 ,test_acc:=19.303849
epoch:=13300 ,test_acc:=18.906382
epoch:=13400 ,test_acc:=18.507987
epoch:=13500 ,test_acc:=18.147361
epoch:=13600 ,test_acc:=17.757932
epoch:=13700 ,test_acc:=17.396189
epoch:=13800 ,test_acc:=17.053700
epoch:=13900 ,test_acc:=16.698331
epoch:=14000 ,test_acc:=16.366356
epoch:=14100 ,test_acc:=16.033970
epoch:=14200 ,test_acc:=15.708466
epoch:=14300 ,test_acc:=15.399472
epoch:=14400 ,test_acc:=15.102176
epoch:=14500 ,test_acc:=14.801896
epoch:=14600 ,test_acc:=14.490018
epoch:=14700 ,test_acc:=14.215960
epoch:=14800 ,test_acc:=13.929609
epoch:=14900 ,test_acc:=13.646454
epoch:=15000 ,test_acc:=13.377355
epoch:=15100 ,test_acc:=13.122288
epoch:=15200 ,test_acc:=12.859113
epoch:=15300 ,test_acc:=12.633439
epoch:=15400 ,test_acc:=12.385555
epoch:=15500 ,test_acc:=12.142508
epoch:=15600 ,test_acc:=11.918592
epoch:=15700 ,test_acc:=11.704360
epoch:=15800 ,test_acc:=11.487905
epoch:=15900 ,test_acc:=11.273507
epoch:=16000 ,test_acc:=11.057717
