x,y,z,yaw,velocity,change_flag
-1.8448,-0.1777,-0.2381,0.0261,0,0
-1.8011,-0.1520,-0.2730,0.0211,1.8369,0
-1.7173,-0.1686,-0.2057,0.0272,1.7731,0
-1.6625,-0.1751,-0.1946,0.0227,0.6259,0
-1.6214,-0.2053,-0.1789,0.0157,1.7196,0
-1.5834,-0.1650,-0.1762,0.0133,1.2205,0
-1.5203,-0.1477,-0.1881,0.0196,0.7559,0
-1.4614,-0.1509,-0.1722,0.0224,0.9193,0
-1.4039,-0.1500,-0.1775,0.0237,1.5132,0
-1.3512,-0.1485,-0.1666,0.0224,0.8464,0
-1.2744,-0.1472,-0.1909,0.0226,1.1375,0
-1.2243,-0.1368,-0.1866,0.0184,inf,0
-1.1662,-0.1379,-0.1863,0.0141,1.1751,0
-1.1083,-0.1225,-0.1861,0.0103,0.8826,0
-1.0631,-0.0993,-0.1657,0.0113,inf,0
-1.0064,-0.1184,-0.1830,0.0086,1.0101,0
-0.9529,-0.1198,-0.1785,0.0099,0.5602,0
-0.8908,-0.1095,-0.1786,0.0122,0.7389,0
-0.8381,-0.0959,-0.1568,0.0164,1.0881,0
-0.7499,-0.0950,-0.1640,0.0144,1.4040,0
-0.6926,-0.0971,-0.1575,0.0139,inf,0
-0.6426,-0.0844,-0.1801,0.0158,inf,0
-0.5906,-0.0740,-0.1644,0.0188,0.8816,0
-0.5317,-0.0668,-0.1646,0.0133,1.3360,0
-0.4598,-0.0604,-0.1484,0.0028,1.7729,0
-0.4064,-0.0638,-0.1698,-0.0024,1.0278,0
-0.3339,-0.0504,-0.1602,0.0010,1.1621,0
-0.2789,-0.0586,-0.1724,0.0040,0.7247,0
-0.2064,-0.0436,-0.1692,0.0055,1.2452,0
-0.1341,-0.0352,-0.1431,0.0060,1.1206,0
-0.0788,-0.0283,-0.1451,0.0046,0.7413,0
-0.0162,-0.0399,-0.1626,0.0053,2.0637,0
0.0349,-0.0432,-0.1374,-0.0005,1.4008,0
0.1170,-0.0172,-0.1301,-0.0101,2.1915,0
0.1677,-0.0086,-0.1297,-0.0101,inf,0
0.2366,-0.0473,-0.1124,-0.0056,1.2983,0
0.2931,-0.0262,-0.1381,0.0009,0.9564,0
0.3476,-0.0166,-0.0820,0.0030,0.6846,0
0.4349,-0.0127,-0.1180,0.0044,1.6285,0
0.4915,-0.0328,-0.0615,0.0019,0.6727,0
0.5483,-0.0155,-0.1360,0.0031,0.6343,0
0.6131,-0.0157,-0.0927,0.0003,1.1104,0
0.6980,-0.0001,-0.0550,-0.0084,1.9667,0
0.7500,0.0008,-0.0583,-0.0092,1.0286,0
0.8403,0.0056,-0.0480,-0.0070,1.7525,0
0.9071,0.0080,-0.0591,-0.0014,1.3383,0
0.9526,-0.0157,-0.0333,-0.0032,0.7564,0
1.0171,-0.0008,-0.0561,-0.0047,1.5172,0
1.0601,0.0257,-0.0340,-0.0033,inf,0
1.1551,0.0192,-0.0498,0.0026,1.7336,0
1.2049,0.0297,-0.0492,-0.0006,1.5301,0
1.2747,0.0475,-0.0598,-0.0026,1.2982,0
1.3290,0.0129,-0.0316,-0.0131,1.6285,0
1.4269,0.0194,-0.0497,-0.0170,2.2053,0
1.5428,0.0181,-0.0398,0.0153,2.9819,0
1.5657,-0.0311,-0.0456,0.0891,1.0817,0
1.6018,0.0137,-0.0535,0.2181,1.8539,0
1.6548,0.0649,-0.0819,0.3193,1.8963,0
1.7242,0.1487,-0.0587,0.3718,2.3135,0
1.7702,0.1865,-0.0612,0.3919,2.0437,0
1.8136,0.2291,-0.0785,0.4159,2.1399,0
1.8637,0.2608,-0.0550,0.4363,2.1916,0
1.9247,0.3544,-0.0223,0.4596,3.9912,0
1.9818,0.3945,-0.0299,0.4932,2.0987,0
2.0765,0.3150,-0.0503,0.5784,2.1518,0
2.1232,0.3516,-0.0188,0.7914,0.7595,0
2.1456,0.4117,0.0022,0.8585,1.2118,0
2.1659,0.4869,-0.0291,0.9419,1.5477,0
2.1649,0.5572,-0.0089,0.9970,1.2406,0
2.1715,0.6084,-0.0033,1.0308,1.7845,0
2.2197,0.6552,-0.0018,1.0575,1.9010,0
2.2425,0.7053,0.0250,1.0767,2.1004,0
2.2894,0.7435,0.0209,1.0901,2.0834,0
2.3378,0.7949,-0.0088,1.0927,2.7946,0
2.3506,0.8490,-0.0197,1.1052,0.7192,0
2.3849,0.9436,0.0188,1.1233,2.1675,0
2.4078,1.0261,0.0171,1.1605,3.0877,0
2.4517,1.0539,-0.0159,1.1801,1.7641,0
2.4302,1.1235,0.0265,1.1972,2.5662,0
2.4242,1.1762,0.0231,1.2192,0.6525,0
2.4581,1.2384,0.0055,1.2290,2.4408,0
2.4227,1.3403,-0.0333,1.2521,4.6097,0
2.4155,1.3994,0.0360,1.2684,3.1375,0
2.4896,1.4526,0.0739,1.2944,3.3952,0
2.5476,1.5222,0.0521,1.3189,3.2715,0
2.5825,1.5708,0.0262,1.3542,1.3850,0
2.6064,1.6166,0.0264,1.3736,1.7074,0
2.5644,1.6827,0.0466,1.4079,2.8075,0
2.5738,1.7343,0.0595,1.4384,1.6034,0
2.5698,1.7861,0.0911,1.4428,2.0727,0
2.6141,1.8836,0.1301,1.4433,3.6846,0
2.5462,1.9622,0.0659,1.4267,2.0387,0
2.5825,1.9980,0.0617,1.4259,inf,0
2.5854,2.0951,0.1054,1.4197,2.1703,0
2.6160,2.1630,0.1448,1.4198,3.4444,0
2.5888,2.2505,0.1284,1.4306,1.6582,0
2.5842,2.3050,0.1406,1.4294,1.8618,0
2.6158,2.3587,0.1687,1.4262,1.8906,0
2.6148,2.4572,0.1662,1.4276,2.2878,0
2.6589,2.4811,0.1895,1.4314,inf,0
2.6280,2.5337,0.1263,1.4327,1.4186,0
