x,y,z,yaw,velocity,change_flag
0.4711,0.0215,-0.1220,0.0141,0,0
0.5209,0.0273,-0.1005,0.0058,inf,0
0.5810,0.0271,-0.1000,-0.0069,0.8585,0
0.6498,0.0291,-0.1050,-0.0046,0.8782,0
0.7063,0.0380,-0.0586,0.0034,0.8810,0
0.7590,0.0341,-0.0831,0.0077,0.3654,0
0.8148,0.0388,-0.0734,0.0067,0.4627,0
0.8822,0.0423,-0.0723,0.0077,0.6554,0
0.9384,0.0464,-0.0641,0.0102,0.5677,0
0.9990,0.0413,-0.0512,0.0095,0.7434,0
1.0532,0.0519,-0.0383,0.0188,0.5309,0
1.1166,0.0596,-0.0065,0.0175,1.0146,0
1.1809,0.0613,-0.0150,0.0108,1.1448,0
1.2315,0.0666,0.0306,0.0105,1.8879,0
1.2887,0.0728,0.0549,0.0074,0.7766,0
1.3515,0.0720,0.0022,0.0082,2.3479,0
1.4055,0.0763,0.0118,0.0057,0.5610,0
1.4555,0.0829,0.0340,-0.0005,inf,0
1.5149,0.0830,0.0124,-0.0005,0.6372,0
1.5712,0.0794,0.0373,-0.0013,0.5452,0
1.6237,0.0844,0.0346,0.0028,0.7926,0
1.6897,0.0834,0.0411,0.0010,0.7629,0
1.7397,0.0901,0.0493,-0.0007,inf,0
1.7912,0.0939,0.0682,-0.0004,0.7285,0
1.8532,0.0901,0.0660,0.0058,0.8575,0
1.9054,0.0966,0.0657,0.0051,0.6065,0
1.9566,0.1003,0.0462,0.0073,0.5026,0
2.0290,0.1051,0.0416,0.0081,0.9777,0
2.0918,0.1068,0.0270,0.0105,0.7973,0
2.1558,0.1094,0.0267,0.0114,0.8536,0
2.2130,0.1167,0.0617,0.0102,0.6843,0
2.2672,0.1190,0.0240,0.0096,0.9166,0
2.3253,0.1229,0.0161,0.0029,0.6250,0
2.3788,0.1232,0.0851,-0.0031,0.4253,0
2.4417,0.1285,0.0611,-0.0010,0.7458,0
2.4967,0.1328,0.0854,-0.0016,0.3604,0
2.5544,0.1363,0.0829,-0.0034,0.5173,0
2.6079,0.1424,0.0976,-0.0055,0.6103,0
2.6581,0.1431,0.1089,-0.0081,inf,0
2.7109,0.1427,0.1078,-0.0040,0.3546,0
2.7641,0.1442,0.0832,-0.0016,0.7343,0
2.8162,0.1446,0.0790,0.0018,0.4105,0
2.8700,0.1467,0.1246,-0.0036,0.4563,0
2.9232,0.1498,0.1250,-0.0091,0.8026,0
2.9742,0.1552,0.1136,-0.0121,inf,0
3.0280,0.1550,0.1136,-0.0074,inf,0
3.0791,0.1642,0.1897,-0.0067,0.5330,0
3.1306,0.1617,0.1874,-0.0063,0.4270,0
3.1936,0.1677,0.1929,-0.0179,0.6122,0
3.2573,0.1650,0.2226,-0.0223,0.6971,0
3.3081,0.1685,0.2121,-0.0232,inf,0
3.3615,0.1704,0.2273,-0.0234,0.7063,0
3.4151,0.1766,0.2313,-0.0209,0.3482,0
3.4711,0.1778,0.2054,-0.0270,0.3581,0
3.5963,0.1686,-0.0536,-0.0308,inf,0
3.6466,0.1655,-0.0407,-0.0364,0.4420,0
3.6972,0.1633,-0.0327,-0.0319,0.6396,0
3.7517,0.1653,-0.0492,-0.0290,0.5127,0
3.8072,0.1722,-0.0400,-0.0245,0.4208,0
3.8640,0.1714,-0.0115,-0.0231,0.5385,0
3.9163,0.1708,0.0053,-0.0246,0.5889,0
3.9681,0.1896,0.3233,-0.0155,0.5350,0
4.0210,0.1924,0.3240,-0.0133,0.5672,0
4.0710,0.1986,0.3251,-0.0171,inf,0
4.1315,0.1947,0.3386,-0.0214,0.4425,0
4.1880,0.1995,0.3338,-0.0247,0.6763,0
4.2385,0.2023,0.3466,-0.0210,0.6601,0
4.2899,0.2079,0.3518,-0.0242,0.5193,0
4.3491,0.2004,0.3542,-0.0257,0.5602,0
4.3995,0.2110,0.3673,-0.0277,inf,0
4.4554,0.1992,0.3720,-0.0299,0.3863,0
4.5150,0.2054,0.3788,-0.0316,0.5598,0
4.5665,0.2012,0.3891,-0.0298,0.5332,0
4.6180,0.2004,0.3953,-0.0317,inf,0
4.6791,0.1995,0.4010,-0.0336,0.5639,0
4.7304,0.2070,0.4041,-0.0350,0.5911,0
4.7814,0.2035,0.4116,-0.0287,inf,0
4.8455,0.2125,0.4012,-0.0253,0.8268,0
4.8966,0.2166,0.4056,-0.0229,0.3639,0
4.9504,0.2156,0.4143,-0.0200,0.5527,0
5.0013,0.2147,0.4279,-0.0224,0.4639,0
