x,y,z,yaw,velocity,change_flag
0.0672,0.0155,-0.1308,0.0103,0,0
0.1342,0.0303,-0.1103,0.0064,0.7906,0
0.1941,0.0308,-0.1557,0.0107,1.9418,0
0.2558,0.0311,-0.1500,0.0157,0.6760,0
0.3433,0.0357,-0.1384,0.0162,1.8561,0
0.4022,0.0404,-0.1239,0.0176,1.5442,0
0.4626,0.0441,-0.0928,0.0174,1.1856,0
0.5144,0.0462,-0.0930,0.0167,0.7127,0
0.5717,0.0526,-0.0796,0.0046,0.7333,0
0.6227,0.0495,-0.0974,-0.0085,0.8344,0
0.6937,0.0560,-0.0976,-0.0125,0.9479,0
0.7626,0.0618,-0.0815,-0.0024,0.8353,0
0.8128,0.0700,-0.0773,0.0057,0.7278,0
0.8780,0.0619,-0.0756,0.0167,1.1449,0
0.9426,0.0686,-0.0493,0.0188,1.1023,0
1.0077,0.0737,-0.0550,0.0257,0.8106,0
1.0609,0.0796,-0.0009,0.0374,1.0676,0
1.1179,0.0799,-0.0342,0.0309,0.9337,0
1.1847,0.0862,-0.0231,0.0150,0.6303,0
1.2593,0.0919,-0.0070,-0.0001,2.3518,0
1.3224,0.0968,0.0662,-0.0031,1.4075,0
1.3741,0.0995,0.0187,-0.0009,0.5198,0
1.4259,0.1039,0.0165,0.0054,0.6936,0
1.4909,0.1049,0.0463,0.0081,0.9060,0
1.5476,0.1077,0.0449,0.0025,1.0179,0
1.6093,0.1105,0.0489,0.0062,1.0811,0
1.6733,0.1110,0.0728,0.0072,0.8891,0
1.7299,0.1129,0.0573,0.0085,1.1789,0
1.7964,0.1166,0.0816,0.0004,0.9132,0
1.8667,0.1266,0.0988,-0.0039,0.8497,0
1.9169,0.1271,0.0974,0.0007,0.7706,0
1.9689,0.1309,0.0807,0.0037,0.8376,0
2.0252,0.1329,0.0929,0.0185,0.6775,0
2.0807,0.1334,0.0345,0.0196,0.6257,0
2.1393,0.1391,0.0699,0.0222,0.7332,0
2.1897,0.1368,0.0119,0.0217,1.5689,0
2.2628,0.1491,0.1025,0.0204,1.3099,0
2.3193,0.1453,0.0527,0.0167,1.3038,0
2.3710,0.1557,0.0480,0.0085,0.7162,0
2.4411,0.1609,0.0837,-0.0083,0.8869,0
2.4997,0.1618,0.0958,-0.0111,0.7726,0
2.5617,0.1688,0.0809,-0.0095,0.8034,0
2.6253,0.1694,0.0911,-0.0038,1.0402,0
2.6818,0.1692,0.1081,0.0024,0.8679,0
2.7318,0.1739,0.1043,0.0062,inf,0
2.7965,0.1752,0.1071,0.0103,0.6140,0
2.8527,0.1774,0.1185,0.0104,1.0360,0
2.9208,0.1832,0.1082,0.0069,1.5098,0
2.9799,0.1838,0.0819,-0.0022,1.4500,0
3.0305,0.1922,0.1416,-0.0110,1.5356,0
3.0964,0.2012,0.1631,-0.0156,1.5297,0
3.1563,0.1949,0.0779,-0.0174,1.6113,0
3.2698,0.1876,-0.0607,-0.0171,inf,0
3.2218,0.2036,0.1665,-0.0163,7.9795,0
3.2891,0.1992,0.3641,-0.0136,0.9037,0
3.3594,0.2020,0.3784,-0.0152,0.7719,0
3.4139,0.2126,0.4101,-0.0133,1.5642,0
3.4716,0.2091,0.4013,-0.0138,0.8371,0
3.5454,0.2116,0.3918,-0.0239,1.1093,0
3.6039,0.2110,0.2897,-0.0370,3.8820,0
3.6869,0.1992,-0.0399,-0.0355,inf,0
3.7514,0.1975,-0.0362,-0.0434,1.0599,0
3.8079,0.2020,-0.0335,-0.0380,0.8045,0
3.8879,0.2089,0.4367,-0.0137,1.2941,0
3.9470,0.2152,0.3227,-0.0102,0.9321,0
4.0008,0.2194,0.3119,-0.0037,inf,0
4.0663,0.2238,0.3203,-0.0012,0.5995,0
4.1233,0.2309,0.3315,-0.0079,0.9592,0
4.1761,0.2371,0.3424,-0.0230,inf,0
4.2394,0.2264,0.3496,-0.0373,1.0008,0
4.2922,0.2336,0.3622,-0.0384,0.8323,0
4.3513,0.2368,0.3645,-0.0352,1.0208,0
4.4086,0.2400,0.3738,-0.0273,1.0299,0
4.4755,0.2315,0.3787,-0.0226,0.6991,0
4.5254,0.2354,0.3856,-0.0254,0.9345,0
4.5876,0.2324,0.3880,-0.0239,0.7534,0
4.6542,0.2347,0.3923,-0.0217,0.8225,0
4.7081,0.2411,0.4000,-0.0229,0.9047,0
4.7804,0.2454,0.4029,-0.0291,1.4235,0
4.8350,0.2432,0.4097,-0.0342,0.6861,0
