x,y,z,yaw,velocity,change_flag
0.1249,-0.1246,0.0271,-0.1147,0,0
-0.9932,-0.1572,-0.1012,0.4948,0.0000,0
-0.0267,0.1706,-0.0709,-0.1311,0.0000,0
0.9770,-0.0293,-0.0055,-0.1869,0.0000,0
1.9830,-0.2126,0.0758,-0.1799,0.0000,0
2.9832,-0.3261,0.1486,-0.1876,0.0000,0
3.9926,-0.3805,0.2715,-0.0299,0.0000,0
5.0171,-0.3672,0.3430,-0.1134,0.0000,0
5.9977,-0.5709,0.3839,-0.2210,0.0000,0
7.0478,-0.6900,0.4350,-0.1939,0.0000,0
8.1257,-0.8300,0.5886,-0.1202,0.0000,0
9.1303,-0.8886,0.6467,-0.0996,0.0000,0
10.1766,-0.9909,0.7759,-0.1084,0.0000,0
11.2663,-0.9559,0.8452,-0.1304,0.0000,0
12.2927,-1.0446,0.8086,-0.1475,0.0000,0
13.3031,-1.1812,0.9757,-0.1314,0.0000,0
14.3272,-1.2874,0.9728,-0.1179,0.0000,0
15.3966,-1.3217,1.0306,-0.1144,0.0000,0
16.4320,-1.4044,1.0977,-0.1068,0.0000,0
17.4805,-1.4274,1.0801,-0.0450,0.0000,0
18.4806,-1.4321,1.1279,0.0049,0.0000,0
19.5032,-1.3804,1.2084,-0.0212,0.0000,0
20.5730,-1.3159,1.2452,-0.0454,0.0000,0
21.6442,-1.2998,1.3055,-0.0416,0.0000,0
22.6797,-1.2991,1.3028,-0.0702,0.0000,0
23.6889,-1.3098,1.4287,-0.0536,0.0000,0
24.7230,-1.3632,1.4992,-0.1318,0.0000,0
25.7656,-1.4786,1.6324,-0.1011,0.0000,0
26.8233,-1.5126,1.7093,-0.1364,0.0000,0
27.8362,-1.5709,1.7366,-0.1204,0.0000,0
28.8791,-1.6710,1.8830,-0.1162,0.0000,0
29.9054,-1.7366,1.9827,-0.1015,0.0000,0
30.9043,-1.8108,2.0288,-0.1430,0.0000,0
31.9009,-1.8939,2.1057,-0.1294,0.0000,0
32.9161,-2.0350,2.2291,-0.1224,0.0000,0
33.9338,-2.1100,2.3053,-0.1581,0.0000,0
34.9994,-2.2048,2.3446,-0.1723,0.0000,0
36.0077,-2.3229,2.4763,-0.1350,0.0000,0
37.0361,-2.4616,2.5243,-0.1405,0.0000,0
38.0379,-2.5199,2.6348,-0.1821,0.0000,0
39.0511,-2.6235,2.7392,-0.1725,0.0000,0
40.0765,-2.7908,2.8052,-0.0926,0.0000,0
41.1047,-2.8372,2.8970,-0.1040,0.0000,0
42.1205,-2.9149,2.9805,-0.1317,0.0000,0
43.2002,-3.0092,3.1230,-0.1548,0.0000,0
44.2281,-3.1592,3.1806,-0.1394,0.0000,0
45.2523,-3.1692,3.2829,-0.1496,0.0000,0
46.2608,-3.2562,3.3806,-0.1647,0.0000,0
47.2696,-3.3478,3.4410,-0.0776,0.0000,0
48.2833,-3.4051,3.5028,-0.0634,0.0000,0
49.3280,-3.4049,3.6158,-0.1084,0.0000,0
50.3632,-3.4551,3.7224,-0.1167,0.0000,0
51.4017,-3.5403,3.8056,-0.0870,0.0000,0
52.4184,-3.6271,3.8959,-0.1040,0.0000,0
53.4293,-3.6926,3.9748,-0.1151,0.0000,0
54.4685,-3.7466,4.0396,-0.0925,0.0000,0
55.4842,-3.8421,4.1023,-0.0816,0.0000,0
56.4997,-3.9152,4.2150,-0.1240,0.0000,0
57.5129,-3.9589,4.2674,-0.1407,0.0000,0
58.5165,-4.0586,4.3730,-0.1010,0.0000,0
59.5530,-4.1440,4.4123,-0.0992,0.0000,0
60.5571,-4.1964,4.4962,-0.1292,0.0000,0
61.5889,-4.2553,4.6055,-0.1367,0.0000,0
62.5831,-4.3634,4.6883,-0.1185,0.0000,0
63.6086,-4.4668,4.8388,-0.1400,0.0000,0
64.6390,-4.5555,4.9271,-0.0653,0.0000,0
65.6436,-4.4595,4.9523,0.1737,0.0000,0
66.6543,-4.1435,5.0248,0.3139,0.0000,0
67.6077,-3.7675,5.0957,0.2821,0.0000,0
68.5741,-3.3770,5.1866,0.4900,0.0000,0
69.4713,-2.9112,5.2738,0.4981,0.0000,0
70.3583,-2.3429,5.2939,0.6105,0.0000,0
71.0721,-1.6070,5.3320,0.9591,0.0000,0
71.5550,-0.6964,5.3712,1.0679,0.0000,0
71.9911,0.2575,5.3939,1.1136,0.0000,0
72.4116,1.1728,5.3914,1.1399,0.0000,0
72.7762,2.1153,5.3822,1.1561,0.0000,0
73.0207,3.1459,5.3751,1.2877,0.0000,0
73.1812,4.1522,5.3899,1.4169,0.0000,0
73.2897,5.1788,5.3835,1.4784,0.0000,0
73.3904,6.1956,5.3333,1.4323,0.0000,0
73.4250,7.2622,5.2983,1.3838,0.0000,0
73.6395,8.2690,5.3008,1.4313,0.0000,0
73.7176,9.2976,5.2837,1.4657,0.0000,0
73.7959,10.3110,5.2585,1.3858,0.0000,0
73.9112,11.3919,5.2045,1.3866,0.0000,0
74.0675,12.4266,5.2519,1.3990,0.0000,0
74.0339,13.4583,5.1943,1.6772,0.0000,0
73.9282,14.4585,5.1641,1.6864,0.0000,0
73.7539,15.4602,5.1629,1.6725,0.0000,0
73.5240,16.5024,5.1312,1.7648,0.0000,0
73.2799,17.5192,5.0993,1.7853,0.0000,0
72.9374,18.5556,5.0385,1.8476,0.0000,0
72.5156,19.4653,5.0079,2.0634,0.0000,0
72.0267,20.3458,4.9456,2.0407,0.0000,0
71.5366,21.2215,4.8498,2.0304,0.0000,0
71.1963,22.1770,4.8079,1.7010,0.0000,0
70.9947,23.1841,4.8384,1.7052,0.0000,0
70.7964,24.1768,4.7209,1.7478,0.0000,0
70.5904,25.1850,4.6746,1.7048,0.0000,0
70.4577,26.2383,4.6566,1.6047,0.0000,0
70.3128,27.2369,4.6392,1.6705,0.0000,0
70.2068,28.2723,4.6034,1.6445,0.0000,0
70.0674,29.3351,4.5390,1.6282,0.0000,0
69.9913,30.4069,4.5676,1.6474,0.0000,0
69.8538,31.4291,4.4998,1.5549,0.0000,0
69.9043,32.4524,4.5210,1.5527,0.0000,0
69.8677,33.5180,4.4862,1.4990,0.0000,0
69.8577,34.6027,4.4833,1.5248,0.0000,0
69.8332,35.6158,4.4543,1.5386,0.0000,0
69.8726,36.6616,4.4245,1.5198,0.0000,0
69.8824,37.7475,4.4109,1.5179,0.0000,0
69.8763,38.7803,4.3568,1.5009,0.0000,0
69.7940,39.8098,4.3195,1.8986,0.0000,0
69.2650,40.6636,4.2802,2.1388,0.0000,0
68.6201,41.4368,4.1715,2.1817,0.0000,0
68.0459,42.3262,4.1603,2.2994,0.0000,0
67.0918,42.8868,4.0622,2.6650,0.0000,0
66.1195,43.1512,3.9399,2.8691,0.0000,0
65.1384,43.3617,3.8881,2.8774,0.0000,0
64.0976,43.6661,3.7780,2.8716,0.0000,0
63.0261,43.8577,3.6727,2.8831,0.0000,0
61.9650,43.9185,3.5825,3.0126,0.0000,0
60.9567,44.0209,3.4695,3.0373,0.0000,0
59.9467,44.1105,3.4239,3.0379,0.0000,0
58.8782,44.2101,3.3175,3.0050,0.0000,0
57.8276,44.1928,3.2335,3.0945,0.0000,0
56.7770,44.1511,3.1846,-3.0284,0.0000,0
55.7476,43.9796,3.0923,-3.0198,0.0000,0
54.6867,43.8471,3.0350,3.1119,0.0000,0
53.6231,43.7730,2.9466,-3.0922,0.0000,0
52.6230,43.7605,2.8869,3.0822,0.0000,0
51.5427,43.8070,2.8094,2.9451,0.0000,0
50.5369,43.9469,2.6984,2.9607,0.0000,0
49.5286,44.0908,2.5974,2.9675,0.0000,0
48.4963,44.2183,2.4434,3.0036,0.0000,0
47.4449,44.2952,2.3962,2.9989,0.0000,0
46.4409,44.3841,2.3114,2.9828,0.0000,0
45.3129,44.5583,2.2542,2.9622,0.0000,0
44.2861,44.6823,2.1558,2.9740,0.0000,0
43.2578,44.7832,2.1128,2.9775,0.0000,0
42.2083,44.9648,2.0374,2.9907,0.0000,0
41.1813,45.1597,1.9362,2.9712,0.0000,0
40.1355,45.1817,1.8580,2.9675,0.0000,0
39.1225,45.3742,1.7327,2.9730,0.0000,0
38.0834,45.4755,1.6846,2.9760,0.0000,0
37.0609,45.6189,1.5696,3.0592,0.0000,0
36.0376,45.6453,1.5082,3.0107,0.0000,0
35.0016,45.7381,1.4090,3.0178,0.0000,0
33.9923,45.8230,1.3179,3.0210,0.0000,0
32.9923,45.8781,1.2421,3.0083,0.0000,0
31.9800,45.9794,1.1418,3.0101,0.0000,0
30.9447,46.1068,1.0798,3.0047,0.0000,0
29.9094,46.1697,0.9571,3.0056,0.0000,0
28.8299,46.2945,0.8560,2.9806,0.0000,0
27.8067,46.3996,0.7826,2.9936,0.0000,0
26.7330,46.5168,0.7496,2.9899,0.0000,0
25.6434,46.6280,0.6942,2.9740,0.0000,0
24.5623,46.7657,0.6369,2.9845,0.0000,0
23.5637,46.8209,0.6369,3.0163,0.0000,0
22.5593,46.9369,0.5559,3.0141,0.0000,0
21.4535,47.0512,0.5069,2.9972,0.0000,0
20.3817,47.1367,0.4197,3.0216,0.0000,0
19.3873,47.2524,0.3818,3.0092,0.0000,0
18.3684,47.3470,0.3731,3.0029,0.0000,0
17.2662,47.4612,0.3395,3.0142,0.0000,0
16.2569,47.5307,0.2841,3.0082,0.0000,0
15.2237,47.5878,0.2572,3.0143,0.0000,0
14.1642,47.7089,0.1924,3.0141,0.0000,0
13.1229,47.7522,0.1351,2.9987,0.0000,0
12.1144,47.9129,0.0355,3.0482,0.0000,0
11.0202,47.8110,-0.0182,3.1173,0.0000,0
10.0128,47.8538,-0.0784,3.1103,0.0000,0
8.9621,47.7991,-0.1980,3.1068,0.0000,0
7.9475,47.8419,-0.2613,3.0989,0.0000,0
6.9402,47.8521,-0.3478,3.0816,0.0000,0
5.8425,47.8782,-0.4116,3.0812,0.0000,0
4.7830,47.9012,-0.4326,3.0723,0.0000,0
3.7441,47.9212,-0.4957,3.0094,0.0000,0
2.6715,48.0138,-0.5288,3.0309,0.0000,0
1.6736,48.0890,-0.5943,3.0205,0.0000,0
0.6713,48.1312,-0.6337,3.0252,0.0000,0
-0.3715,48.2393,-0.6691,3.0350,0.0000,0
-1.4077,48.2902,-0.7067,3.0140,0.0000,0
-2.4846,48.4095,-0.6987,3.0159,0.0000,0
-3.5635,48.4932,-0.7784,3.0154,0.0000,0
-4.6173,48.5930,-0.7751,3.0164,0.0000,0
-5.6682,48.7072,-0.8132,3.0044,0.0000,0
-6.7255,48.7910,-0.8611,3.0052,0.0000,0
-7.7703,48.9074,-0.9103,3.0043,0.0000,0
-8.8245,48.9914,-0.9760,3.0019,0.0000,0
-9.8524,49.0922,-1.0460,2.9977,0.0000,0
-10.9118,49.2267,-1.0623,2.9928,0.0000,0
-11.9289,49.2895,-1.0898,3.0738,0.0000,0
-12.9422,49.2892,-1.1472,-3.0236,0.0000,0
